parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Seattle-Tacoma-Bellevue WA
Nickel PM10 STP,2015,Nanograms/cubic meter (25 C),0.7,Milwaukee-Waukesha-West Allis WI
Trichloroethylene,1999,Parts per billion Carbon,0,Corpus Christi TX
Vinyl chloride,2008,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Nickel (TSP) STP,2005,Micrograms/cubic meter (25 C),0,Georgetown SC
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Reno NV
Arsenic PM2.5 LC,1994,Micrograms/cubic meter (LC),0,Ellensburg WA
Cadmium (TSP) STP,1990,Micrograms/cubic meter (25 C),0.0002,San Diego-Carlsbad CA
Chromium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Tucson AZ
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00096,
Tetrachloroethylene,2010,Parts per billion Carbon,0.05,New York-Newark-Jersey City NY-NJ-PA
Manganese PM2.5 LC,2008,Micrograms/cubic meter (LC),0.001,Flagstaff AZ
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0,
Benzene,1999,Parts per billion Carbon,0.7,McAllen-Edinburg-Mission TX
13-Butadiene,2003,Parts per billion Carbon,0.36,Tampa-St. Petersburg-Clearwater FL
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0.001,Sioux Falls SD
Lead PM10 STP,1995,Micrograms/cubic meter (25 C),0.012,Wichita KS
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.0005,Gulfport-Biloxi-Pascagoula MS
Nickel PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Corning NY
Manganese PM2.5 LC,1997,Micrograms/cubic meter (LC),0,Harrison AR
Cadmium (TSP) STP,2006,Micrograms/cubic meter (25 C),0.00025,Detroit-Warren-Dearborn MI
Nickel (TSP) STP,1997,Micrograms/cubic meter (25 C),0,Wichita KS
Chloroform,2002,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0.001,Las Vegas-Henderson-Paradise NV
Dichloromethane,2007,Parts per billion Carbon,0,Evansville IN-KY
Carbon tetrachloride,2005,Parts per billion Carbon,0.11,Dallas-Fort Worth-Arlington TX
Tetrachloroethylene,2005,Parts per billion Carbon,0.038,New York-Newark-Jersey City NY-NJ-PA
Arsenic PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Dallas-Fort Worth-Arlington TX
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0.0029,Birmingham-Hoover AL
Ethylene dibromide,2010,Parts per billion Carbon,0,Cincinnati OH-KY-IN
Trichloroethylene,2012,Parts per billion Carbon,0,Richmond VA
Trichloroethylene,2006,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,1996,Micrograms/cubic meter (LC),0.00054,
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Ruidoso NM
Dichloromethane,2009,Parts per billion Carbon,0.1225,Miami-Fort Lauderdale-West Palm Beach FL
trans-13-Dichloropropene,2014,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Harrison AR
Arsenic (TSP) STP,1990,Micrograms/cubic meter (25 C),0,Wichita KS
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Canton-Massillon OH
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0,
Benzene,2000,Parts per billion Carbon,10.6,Brownsville-Harlingen TX
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Kahului-Wailuku-Lahaina HI
Lead PM2.5 LC,2001,Micrograms/cubic meter (LC),0.0065,Salt Lake City UT
1122-Tetrachloroethane,2010,Parts per billion Carbon,0,Tulsa OK
Ethylene dichloride,1992,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
1122-Tetrachloroethane,2007,Parts per billion Carbon,0,Providence-Warwick RI-MA
Arsenic PM2.5 LC,2000,Micrograms/cubic meter (LC),0.00046,
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Prescott AZ
Dichloromethane,2002,Parts per billion Carbon,0.01,Laredo TX
Benzene,2011,Parts per billion Carbon,0.206667,
12-Dichloropropane,2007,Parts per billion Carbon,0.2,Asheville NC
13-Butadiene,2015,Parts per billion Carbon,0.172727,Dallas-Fort Worth-Arlington TX
Manganese (TSP) STP,2013,Micrograms/cubic meter (25 C),0.006,Charleston WV
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Memphis TN-MS-AR
Chloroform,2008,Parts per billion Carbon,0.05,Houston-The Woodlands-Sugar Land TX
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
Tetrachloroethylene,2003,Parts per billion Carbon,0.04,Chicago-Naperville-Elgin IL-IN-WI
trans-13-Dichloropropene,1997,Parts per billion Carbon,0.08,
Arsenic PM10 STP,2008,Nanograms/cubic meter (25 C),0,Grand Junction CO
Chromium PM2.5 LC,2014,Micrograms/cubic meter (LC),0.004,Cleveland-Elyria OH
Trichloroethylene,2013,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Ethylene dibromide,2005,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Ethylene dibromide,2005,Parts per billion Carbon,0,Gulfport-Biloxi-Pascagoula MS
Manganese PM2.5 LC,1990,Micrograms/cubic meter (LC),0.00093,
Formaldehyde,2001,Parts per billion Carbon,2.4,Providence-Warwick RI-MA
Ethylene dibromide,2004,Parts per billion Carbon,0.2,Asheville NC
Nickel (TSP) STP,1999,Micrograms/cubic meter (25 C),0,Dillon SC
Carbon tetrachloride,2007,Parts per billion Carbon,0.109,Providence-Warwick RI-MA
Chromium PM2.5 LC,2016,Micrograms/cubic meter (LC),0.002,Modesto CA
Carbon tetrachloride,2005,Parts per billion Carbon,0.1,El Paso TX
Ethylene dichloride,2005,Parts per billion Carbon,0.1,Asheville NC
Nickel PM10 STP,2011,Nanograms/cubic meter (25 C),12.3,Grand Junction CO
Acrolein - Unverified,2005,Parts per billion Carbon,1.8,San Diego-Carlsbad CA
Arsenic PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Baltimore-Columbia-Towson MD
Trichloroethylene,2016,Parts per billion Carbon,0,Sanford NC
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.003,
Cadmium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Atlanta-Sandy Springs-Roswell GA
Nickel (TSP) STP,2013,Micrograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Vinyl chloride,2010,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Dichloromethane,2007,Parts per billion Carbon,0,Indianapolis-Carmel-Anderson IN
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Asheville NC
Chromium PM2.5 LC,2000,Micrograms/cubic meter (LC),0.00073,Redding CA
Benzene,2009,Parts per billion Carbon,0,Atlanta-Sandy Springs-Roswell GA
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Elko NV
Dichloromethane,2012,Parts per billion Carbon,0.09,Oklahoma City OK
12-Dichloropropane,2013,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.0123,Pittsburgh PA
Vinyl chloride,1994,Parts per billion Carbon,0.01,Odessa TX
cis-13-Dichloropropene,2003,Parts per billion Carbon,0.19,Miami-Fort Lauderdale-West Palm Beach FL
Arsenic (TSP) STP,2005,Micrograms/cubic meter (25 C),0,New Orleans-Metairie LA
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0.005,New York-Newark-Jersey City NY-NJ-PA
Chloroform,2013,Parts per billion Carbon,0,Lexington-Fayette KY
Arsenic PM10 STP,1990,Nanograms/cubic meter (25 C),0,Wichita KS
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Elko NV
Chromium PM2.5 LC,1995,Micrograms/cubic meter (LC),0.00081,
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.002,Riverside-San Bernardino-Ontario CA
trans-13-Dichloropropene,2007,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Crescent City CA
Acetaldehyde,2000,Parts per billion Carbon,3.4,Los Angeles-Long Beach-Anaheim CA
Formaldehyde,1998,Parts per billion Carbon,1.9,Baltimore-Columbia-Towson MD
Ethylene dichloride,2010,Parts per billion Carbon,0,San Jose-Sunnyvale-Santa Clara CA
Cadmium (TSP) STP,1990,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
Arsenic PM2.5 LC,2015,Micrograms/cubic meter (LC),0,
trans-13-Dichloropropene,2015,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Tetrachloroethylene,2004,Parts per billion Carbon,0.05,Houston-The Woodlands-Sugar Land TX
Nickel PM10 STP,2005,Nanograms/cubic meter (25 C),2.59,Portland-Vancouver-Hillsboro OR-WA
Arsenic PM2.5 LC,2004,Micrograms/cubic meter (LC),0.001,Seattle-Tacoma-Bellevue WA
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0.003,Birmingham-Hoover AL
Cadmium (TSP) STP,2006,Micrograms/cubic meter (25 C),0.002,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0.0015,
Nickel PM10 STP,1997,Nanograms/cubic meter (25 C),7,El Centro CA
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0.002,Charleston WV
Manganese PM2.5 LC,2000,Micrograms/cubic meter (LC),0,Bishop CA
Nickel PM2.5 LC,2008,Micrograms/cubic meter (LC),0.0035,Boston-Cambridge-Newton MA-NH
Dichloromethane,2005,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0.001,Elkhart-Goshen IN
Ethylene dibromide,2011,Parts per billion Carbon,0,Richmond VA
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Los Alamos NM
Nickel PM2.5 LC,2013,Micrograms/cubic meter (LC),0,St. Louis MO-IL
trans-13-Dichloropropene,2001,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Dallas-Fort Worth-Arlington TX
Chloroform,2009,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Carbon tetrachloride,2015,Parts per billion Carbon,0.08,Tampa-St. Petersburg-Clearwater FL
Ethylene dibromide,1990,Parts per billion Carbon,0.02,Santa Maria-Santa Barbara CA
Ethylene dichloride,2011,Parts per billion Carbon,0,Seattle-Tacoma-Bellevue WA
Chromium PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00127,Davenport-Moline-Rock Island IA-IL
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0.002,Cleveland-Elyria OH
cis-13-Dichloropropene,2009,Parts per billion Carbon,0,Marshall TX
Acetaldehyde,2008,Parts per billion Carbon,1.36908,Burlington-South Burlington VT
Benzene,2013,Parts per billion Carbon,2.34,Tulsa OK
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Montgomery AL
Benzene,1995,Parts per billion Carbon,1.956957,Boston-Cambridge-Newton MA-NH
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Montgomery AL
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.003,Bakersfield CA
Lead PM2.5 LC,1998,Micrograms/cubic meter (LC),0.0002,Fort Collins CO
Trichloroethylene,2001,Parts per billion Carbon,0.01,Longview TX
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.004,Toledo OH
Cadmium (TSP) STP,1993,Micrograms/cubic meter (25 C),0.0005,Bakersfield CA
Nickel (TSP) STP,2006,Micrograms/cubic meter (25 C),0,New Orleans-Metairie LA
Chromium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Fort Collins CO
13-Butadiene,2012,Parts per billion Carbon,0.3,Odessa TX
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Burlington-South Burlington VT
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0.0195,Pittsburgh PA
trans-13-Dichloropropene,2014,Parts per billion Carbon,0,Rochester NY
Carbon tetrachloride,2005,Parts per billion Carbon,0.12,Houston-The Woodlands-Sugar Land TX
Benzene,2016,Parts per billion Carbon,1.195455,New York-Newark-Jersey City NY-NJ-PA
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0.002,Detroit-Warren-Dearborn MI
Lead PM2.5 LC,2008,Micrograms/cubic meter (LC),0.002,Las Vegas-Henderson-Paradise NV
Dichloromethane,2005,Parts per billion Carbon,0.17,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
cis-13-Dichloropropene,2011,Parts per billion Carbon,0,
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Phoenix-Mesa-Scottsdale AZ
Chloroform,2007,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
trans-13-Dichloropropene,2002,Parts per billion Carbon,0.02,Beaumont-Port Arthur TX
Nickel PM2.5 LC,1996,Micrograms/cubic meter (LC),0,
Arsenic (TSP) STP,1995,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0.002,Montgomery AL
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Columbus GA-AL
Lead PM2.5 LC,1993,Micrograms/cubic meter (LC),0.00053,Show Low AZ
Benzene,1998,Parts per billion Carbon,6,Santa Maria-Santa Barbara CA
Arsenic PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00024,
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Tetrachloroethylene,2016,Parts per billion Carbon,0,Columbus OH
Ethylene dibromide,2008,Parts per billion Carbon,0,Warner Robins GA
Chloroform,2003,Parts per billion Carbon,0.04,Boston-Cambridge-Newton MA-NH
Arsenic (TSP) STP,1996,Micrograms/cubic meter (25 C),0.12,Green Bay WI
Benzene,2001,Parts per billion Carbon,1.14,Muscatine IA
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2016,Micrograms/cubic meter (LC),0.001,Birmingham-Hoover AL
Carbon tetrachloride,1994,Parts per billion Carbon,0.1,El Paso TX
trans-13-Dichloropropene,1996,Parts per billion Carbon,0,Alexandria MN
Nickel PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0.002,Columbus GA-AL
Carbon tetrachloride,1995,Parts per billion Carbon,0,Midland MI
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Shreveport-Bossier City LA
trans-13-Dichloropropene,2002,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Lead PM2.5 LC,1995,Micrograms/cubic meter (LC),0.00046,Kalispell MT
Dichloromethane,2005,Parts per billion Carbon,2.2,Milwaukee-Waukesha-West Allis WI
Acetaldehyde,2001,Parts per billion Carbon,0.1,Oxnard-Thousand Oaks-Ventura CA
Dichloromethane,2009,Parts per billion Carbon,0.05,Sacramento--Roseville--Arden-Arcade CA
Nickel PM2.5 LC,2012,Micrograms/cubic meter (LC),0.002,Portland-Vancouver-Hillsboro OR-WA
Manganese PM2.5 LC,2015,Micrograms/cubic meter (LC),0.001,St. George UT
Tetrachloroethylene,2006,Parts per billion Carbon,0.2,Asheville NC
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,
Manganese (TSP) STP,2006,Micrograms/cubic meter (25 C),0,New Orleans-Metairie LA
1122-Tetrachloroethane,2001,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Arsenic (TSP) STP,2000,Micrograms/cubic meter (25 C),0.002,Los Angeles-Long Beach-Anaheim CA
Trichloroethylene,2004,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Prineville OR
Nickel PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Dickinson ND
Chromium PM10 STP,1998,Nanograms/cubic meter (25 C),0,Kansas City MO-KS
Nickel PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Vineyard Haven MA
Chloroform,2011,Parts per billion Carbon,0.014,San Diego-Carlsbad CA
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Phoenix-Mesa-Scottsdale AZ
Formaldehyde,2008,Parts per billion Carbon,0.79,Marshall TX
Tetrachloroethylene,2012,Parts per billion Carbon,0.02,Dallas-Fort Worth-Arlington TX
Trichloroethylene,2002,Parts per billion Carbon,0.01,Beaumont-Port Arthur TX
cis-13-Dichloropropene,2011,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Ethylene dichloride,2004,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Chromium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Washington-Arlington-Alexandria DC-VA-MD-WV
Acrolein - Unverified,2015,Parts per billion Carbon,1.6,Washington-Arlington-Alexandria DC-VA-MD-WV
Nickel PM10 STP,2007,Nanograms/cubic meter (25 C),0,
13-Butadiene,2005,Parts per billion Carbon,0.131818,Odessa TX
13-Butadiene,2013,Parts per billion Carbon,0.12,Huntington-Ashland WV-KY-OH
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Los Angeles-Long Beach-Anaheim CA
1122-Tetrachloroethane,2006,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Vinyl chloride,2013,Parts per billion Carbon,0,Oklahoma City OK
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Flagstaff AZ
1122-Tetrachloroethane,2014,Parts per billion Carbon,0,Tulsa OK
Cadmium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Springfield MA
Ethylene dichloride,2015,Parts per billion Carbon,0,Beaver Dam WI
Nickel PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Minneapolis-St. Paul-Bloomington MN-WI
Formaldehyde,2005,Parts per billion Carbon,6.9625,Los Angeles-Long Beach-Anaheim CA
Beryllium (TSP) STP,2014,Nanograms/cubic meter (25 C),0.2,Port Clinton OH
Dichloromethane,1994,Parts per billion Carbon,0.5,San Francisco-Oakland-Hayward CA
Benzene,2006,Parts per billion Carbon,1.3,La Grande OR
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Scranton--Wilkes-Barre--Hazleton PA
13-Butadiene,2008,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Hilo HI
Chromium (TSP) STP,2001,Micrograms/cubic meter (25 C),0.002,Riverside-San Bernardino-Ontario CA
Nickel PM10 STP,2015,Nanograms/cubic meter (25 C),0.15,
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Berlin NH-VT
Acetaldehyde,2000,Parts per billion Carbon,0.4,Riverside-San Bernardino-Ontario CA
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.0054,Phoenix-Mesa-Scottsdale AZ
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Minneapolis-St. Paul-Bloomington MN-WI
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM10 STP,2014,Nanograms/cubic meter (25 C),6.79,
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Portland-South Portland ME
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Boise City ID
1122-Tetrachloroethane,2002,Parts per billion Carbon,0.1,Miami-Fort Lauderdale-West Palm Beach FL
Tetrachloroethylene,2012,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Lead PM2.5 LC,1996,Micrograms/cubic meter (LC),0,
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Ethylene dibromide,2005,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Arsenic PM2.5 LC,2001,Micrograms/cubic meter (LC),0,Richmond VA
Manganese PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00136,Bakersfield CA
Chloroform,2005,Parts per billion Carbon,0.04,Houston-The Woodlands-Sugar Land TX
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0.002,Holland MI
Trichloroethylene,2009,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Lead PM2.5 LC,1993,Micrograms/cubic meter (LC),0.00013,
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,
Nickel (TSP) STP,2007,Micrograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Vinyl chloride,2004,Parts per billion Carbon,0,Dover DE
13-Butadiene,2001,Parts per billion Carbon,0.18,
13-Butadiene,2004,Parts per billion Carbon,0.26,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Huntington-Ashland WV-KY-OH
Benzene,1996,Parts per billion Carbon,5,Chicago-Naperville-Elgin IL-IN-WI
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Dallas-Fort Worth-Arlington TX
Ethylene dichloride,2008,Parts per billion Carbon,0,Corpus Christi TX
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),3e-05,La Grande OR
Cadmium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Athens-Clarke County GA
Tetrachloroethylene,2012,Parts per billion Carbon,0.2,Charleston WV
Chromium VI (TSP) STP,2012,Micrograms/cubic meter (25 C),0,Portland-Vancouver-Hillsboro OR-WA
Acrolein - Unverified,2006,Parts per billion Carbon,0.495,Providence-Warwick RI-MA
Nickel PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Tallahassee FL
Lead PM2.5 LC,2008,Micrograms/cubic meter (LC),0.001,Grants Pass OR
Lead PM2.5 LC,1995,Micrograms/cubic meter (LC),0.00314,Bennington VT
Cadmium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Fresno CA
Chromium PM2.5 LC,1999,Micrograms/cubic meter (LC),0,Homosassa Springs FL
Ethylene dichloride,2016,Parts per billion Carbon,0,Wilmington NC
Chromium PM2.5 LC,2016,Micrograms/cubic meter (LC),0.004,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel (TSP) STP,2007,Micrograms/cubic meter (25 C),0,Greenwood SC
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.003,
13-Butadiene,2004,Parts per billion Carbon,0,Savannah GA
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,Toledo OH
Benzene,2003,Parts per billion Carbon,1.314583,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Acetaldehyde,1996,Parts per billion Carbon,2.2,
Dichloromethane,2008,Parts per billion Carbon,0.08,Washington-Arlington-Alexandria DC-VA-MD-WV
Vinyl chloride,2009,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,New York-Newark-Jersey City NY-NJ-PA
12-Dichloropropane,2006,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Beryllium (TSP) STP,2010,Nanograms/cubic meter (25 C),0,
13-Butadiene,2008,Parts per billion Carbon,0.605,Houston-The Woodlands-Sugar Land TX
Manganese PM2.5 LC,2008,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
cis-13-Dichloropropene,2002,Parts per billion Carbon,0.02,Houston-The Woodlands-Sugar Land TX
Acrolein - Unverified,2002,Parts per billion Carbon,0.0375,Providence-Warwick RI-MA
Nickel PM2.5 LC,2000,Micrograms/cubic meter (LC),0,
cis-13-Dichloropropene,2013,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Cadmium PM10 STP,1993,Nanograms/cubic meter (25 C),0,Wichita KS
Carbon tetrachloride,1999,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Beryllium PM10 STP,2011,Nanograms/cubic meter (25 C),0,Huntington-Ashland WV-KY-OH
trans-13-Dichloropropene,2001,Parts per billion Carbon,0,
Carbon tetrachloride,2002,Parts per billion Carbon,0,Indianapolis-Carmel-Anderson IN
Chloroform,1995,Parts per billion Carbon,0.03,Baltimore-Columbia-Towson MD
